Mes,VolumeUSD_B,Hyperliquid,Aster,edgeX,GRVT,Lighter,ApeX,Pacifica,Extended,Variational,Jupiter,dYdX,Paradex
Jan-25,248,76.9,1.7,0.6,0.0,0.0,0.9,0.9,0.3,0.0,13.6,4.3,0.9
Feb-25,234,79.2,1.7,0.6,0.3,0.6,0.6,0.3,0.0,0.0,11.6,3.2,2.0
Mar-25,234,74.9,2.0,0.6,0.9,5.2,0.6,0.3,0.0,0.0,10.4,3.8,1.4
Apr-25,275,67.9,0.9,0.9,0.0,17.3,0.0,0.6,0.6,0.0,8.4,2.0,1.4
May-25,332,74.9,2.3,2.3,0.6,9.2,0.3,0.6,0.9,0.3,5.8,1.4,1.4
Jun-25,349,61.3,9.5,2.6,0.6,17.6,0.0,0.6,0.9,0.0,4.6,1.4,0.9
Jul-25,465,67.1,1.7,4.0,0.6,18.2,0.3,0.3,0.9,0.0,4.3,1.4,1.2
Aug-25,658,61.3,1.4,6.9,0.0,22.8,0.3,0.6,0.9,0.0,3.5,1.2,1.2
Sep-25,597,44.8,3.2,13.9,1.4,27.5,0.0,0.6,1.2,0.0,3.5,1.2,2.9
Oct-25,1110,28.6,23.4,12.7,2.9,24.3,0.0,0.6,2.0,0.0,1.7,0.9,2.9
Nov-25,1090,23.1,23.4,15.6,2.9,27.2,0.0,0.6,2.6,0.0,1.2,1.2,2.3
Dec-25,786,20.5,22.5,13.9,4.6,26.0,0.3,2.6,3.8,0.0,0.9,1.4,3.5
Jan-26,752,24.3,17.3,13.0,7.2,15.0,4.6,3.8,6.1,0.3,0.9,1.2,6.4
Feb-26,633,33.2,15.6,14.7,6.4,11.8,5.8,3.2,5.2,0.0,1.4,1.2,1.4
Mar-26,580,36.1,13.6,13.9,7.8,9.5,6.1,4.3,4.3,2.0,1.2,0.6,0.6
Apr-26,482,39.3,11.6,10.7,9.2,8.1,7.2,4.6,4.0,3.2,1.2,0.9,0.0
